key	source	title	category	license	url
leading-innovation-386	B.C. Open Collection	Leading Innovation	Business	CC BY-NC-SA 4.0	https://ecampusontario.pressbooks.pub/leadinginnovation/open/download?type=pdf
digital-accessibility-as-a-business-practice-the-chang-school-toronto-metropolitan-university-formerly-ryerson-university-101	B.C. Open Collection	Digital Accessibility as a Business Practice (The Chang School, Toronto Metropolitan University (formerly Ryerson University))	Business	CC BY-SA 4.0	https://pressbooks.library.ryerson.ca/dabp/open/download?type=pdf
the-word-on-college-reading-and-writing	B.C. Open Collection	The Word on College Reading and Writing (Open Oregon Educational Resources )	Communication & Writing	CC BY 4.0	https://openoregon.pressbooks.pub/wrd/open/download?type=pdf
teaching-in-a-digital-age-guidelines-for-designing-teaching-and-learning-3rd-edition-tony-bates-associates-ltd-382	B.C. Open Collection	Teaching in a Digital Age: Guidelines for Designing Teaching and Learning - 3rd Edition (Tony Bates Associates Ltd.)	Education	CC BY-NC 4.0	https://pressbooks.bccampus.ca/teachinginadigitalagev3m/open/download?type=pdf
in-the-community	B.C. Open Collection	In the Community: An Intermediate Integrated Skills Textbook (NorQuest College)	Language Learning	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/160/formats/itc_book_printable_2_86b18c92ea.pdf
psychology-of-language-bccampus-305	B.C. Open Collection	Psychology of Language (BCcampus)	Social Sciences	CC BY 4.0	https://opentextbc.ca/psyclanguage/open/download?type=pdf
workplace-safety-in-the-food-service-industry-bccampus-365	B.C. Open Collection	Workplace Safety in the Food Service Industry (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/workplacesafety/open/download?type=pdf
line-c-tools-and-equipment-competency-c-1-describe-common-hand-tools-and-their-uses-bccampus-218	B.C. Open Collection	Line C: Tools and Equipment: Competency C-1: Describe Common Hand Tools and Their Uses (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/218/formats/C_1_209d84f8f1.pdf
forall-x-calgary-fall-2021-edition	B.C. Open Collection	forall x: Calgary: An Open Introduction to Formal Logic - Fall 2021 Edition	Humanities	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/131/supplementary/forall_x_Fall_2021_Calgary_Solutions_Booklet_0175e2ab4f.pdf
food-safety-sanitation-and-personal-hygiene-bccampus-129	B.C. Open Collection	Food Safety, Sanitation, and Personal Hygiene (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/foodsafety/open/download?type=pdf
ethics-in-law-enforcement-bccampus-119	B.C. Open Collection	Ethics in Law Enforcement (BCcampus)	Law and Criminal Justice	CC BY 4.0	https://opentextbc.ca/ethicsinlawenforcement/open/download?type=pdf
echo-ethnographic-cultural-and-historical-overview-of-yukons-first-peoples-institute-for-community-engaged-research-press-103	B.C. Open Collection	ECHO: Ethnographic, Cultural and Historical Overview of Yukon's First Peoples (Institute for Community Engaged Research Press)	Social Sciences	CC BY-NC-ND 4.0	https://pressbooks.bccampus.ca/echoyukonsfirstpeople/open/download?type=pdf
active-calculus-2017-edition-grand-valley-state-university-libraries-10	B.C. Open Collection	Active Calculus - 2017 Edition (Grand Valley State University Libraries)	Math & Stats	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/10/formats/Active_Calculus_2_0_719c0b351a.pdf
evidence-based-massage-therapy-a-guide-for-clinical-practice-ecampusontario-121	B.C. Open Collection	Evidence-Based Massage Therapy: A Guide for Clinical Practice (eCampusOntario)	Health and Medical	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/121/formats/Evidence_Based_Massage_Therapy_1592410090_0232c34992.pdf
block-b-water-services-and-distribution-systems-plumbing-apprenticeship-program-level-3-bccampus-395	B.C. Open Collection	Block B: Water Services and Distribution Systems: Plumbing Apprenticeship Program Level 3 (BCcampus)	Trades	CC BY-NC-SA 4.0	https://opentextbc.ca/plumbing3b/open/download?type=pdf
introduction-to-philosophy-philosophy-of-mind-rebus-community-186	B.C. Open Collection	Introduction to Philosophy: Philosophy of Mind (Rebus Community)	Humanities	CC BY 4.0	https://press.rebus.community/intro-to-phil-of-mind/open/download?type=pdf
fundamentals-of-business-3rd-edition-virginia-tech-135	B.C. Open Collection	Fundamentals of Business - 3rd Edition (Virginia Tech)	Business	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/135/formats/OTB_080_03_Fundamentals_of_Business_3rd_Edition_Low_42926bb61f.pdf
hair-colour-for-hairstylists-level-2-bccampus-147	B.C. Open Collection	Hair Colour for Hairstylists: Level 2 (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/haircolourforhairstylistslevel2/open/download?type=pdf
introduction-to-psychology-1st-canadian-edition-bccampus-190	B.C. Open Collection	Introduction to Psychology - 1st Canadian Edition (BCcampus)	Social Sciences	CC BY-NC-SA 4.0	https://opentextbc.ca/introductiontopsychology/open/download?type=pdf
nature-of-geographic-information-systems-an-open-geospatial-textbook-the-pennsylvania-state-university-251	B.C. Open Collection	Nature of Geographic Information Systems: An Open Geospatial Textbook (The Pennsylvania State University)	Earth and Ocean Sciences	CC BY-NC-SA 3.0	https://opentextbc.ca/natureofgeographicinformation/open/download?type=pdf
human-biology-human-anatomy-and-physiology-thompson-rivers-university-154	B.C. Open Collection	Human Biology: Human Anatomy and Physiology (Thompson Rivers University)	Biological-Physical Sciences	CC BY-NC 4.0	https://humanbiology.pressbooks.tru.ca/open/download?type=pdf
financial-mathematics-british-columbia-ministry-of-advanced-education-training-and-technology-125	B.C. Open Collection	Financial Mathematics (British Columbia Ministry of Advanced Education, Training and Technology)	Math & Stats	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/125/formats/Financial_Mathematics_ee397c84fa.pdf
british-columbia-in-a-global-context-bccampus-54	B.C. Open Collection	British Columbia in a Global Context (BCcampus)	Earth and Ocean Sciences	CC BY 4.0	https://opentextbc.ca/geography/open/download?type=pdf
intermediate-microeconomics-with-microsoft-excel-2nd-edition-cambridge-university-press-169	B.C. Open Collection	Intermediate Microeconomics with Microsoft Excel - 2nd Edition (Cambridge University Press)	Social Sciences	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/169/formats/Micro_Excel_7b3adfc2ff.pdf
line-a-safe-work-practices-competency-a-2-describe-worksafebc-regulations-bccampus-213	B.C. Open Collection	Line A: Safe Work Practices: Competency A-2: Describe WorkSafeBC Regulations (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/213/formats/A_2_e929c12f3e.pdf
history-of-international-relations	B.C. Open Collection	History of International Relations: A Non-European Perspective (Open Book Publishers)	Humanities	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/153/formats/Ringmar_History_of_International_Relations_44523cbf77.pdf
linear-algebra-with-applications-2021a-lyryx-232	B.C. Open Collection	Linear Algebra with Applications - 2021A (Lyryx)	Math & Stats	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/232/formats/OTB_181_02_Linear_Algebra_with_Applications_2021_A_ffde2362d5.pdf
bc-reads-adult-literacy-fundamental-english-reader-5-bccampus-46	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Reader 5 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealfreader5/open/download?type=pdf
key-concepts-of-computer-studies-bccampus-203	B.C. Open Collection	Key Concepts of Computer Studies (BCcampus)	Computer Science	CC BY 4.0	https://opentextbc.ca/computerstudies/open/download?type=pdf
database-design-2nd-edition-bccampus-96	B.C. Open Collection	Database Design - 2nd Edition (BCcampus)	Computer Science	CC BY 4.0	https://opentextbc.ca/dbdesign01/open/download?type=pdf
organic-chemistry-with-a-biological-emphasis-volume-i-2019-university-of-minnesota-morris-266	B.C. Open Collection	Organic Chemistry with a Biological Emphasis: Volume I - 2019 (University of Minnesota Morris)	Biological-Physical Sciences	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/266/formats/Organic_Chemistry_with_a_Biological_Emphasis_Volume_I_e0d0add671.pdf
resumer-synthetiser-argumenter	B.C. Open Collection	Résumer, Synthétiser, Argumenter (eCampusOntario )	Language Learning	CC BY-NC-SA 4.0	https://ecampusontario.pressbooks.pub/resumersynthetiserargumenter/open/download?type=pdf
line-b-employability-skills-competency-b-4-describe-the-apprenticeship-system-2nd-edition-bccampus-346	B.C. Open Collection	Line B: Employability Skills: Competency B-4: Describe the Apprenticeship System - 2nd Edition (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/tradescommoncoreb4/open/download?type=pdf
literature-reviews-for-education-and-nursing-graduate-students-rebus-community-233	B.C. Open Collection	Literature Reviews for Education and Nursing Graduate Students (Rebus Community)	Education	CC BY 4.0	https://press.rebus.community/literaturereviewsedunursing/open/download?type=pdf
guidelines-for-improving-the-effectiveness-of-boards-of-directors-of-nonprofit-organizations	B.C. Open Collection	Guidelines for Improving the Effectiveness of Boards of Directors of Nonprofit Organizations (Milne Open Textbooks)	Business	CC BY 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/146/formats/Guidelines_for_Improving_the_Effectivness_e_Book_1ae06e9c6a.pdf
democracy-in-brief-gpa-publications-98	B.C. Open Collection	Democracy in Brief (GPA Publications)	Social Sciences	Public Domain Mark	https://uploads.mwp.mprod.getusinfo.com/uploads/sites/32/2016/07/Democracy-in-Brief_In-Brief-Series_English_Lo-Res.pdf
tasty-bits-of-several-complex-variables	B.C. Open Collection	Tasty Bits of Several Complex Variables	Math & Stats	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/333/formats/OTB_256_01_Tasty_Bits_of_Several_Complex_Variables_21e6381001.pdf
introduction-to-professional-communications-bccampus-188	B.C. Open Collection	Introduction to Professional Communications (BCcampus)	Communication & Writing	CC BY-NC-SA 4.0	https://pressbooks.bccampus.ca/professionalcomms/open/download?type=pdf
cross-connection-control-for-plumbing-and-piping-trades-plumber-apprenticeship-program-level-3-bccampus-93	B.C. Open Collection	Cross Connection Control for Plumbing and Piping Trades: Plumber Apprenticeship Program Level 3 (BCcampus)	Trades	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/93/formats/Cross_connection_control_for_plumbing_and_piping_trades_d252254d78.pdf
knowing-home-braiding-indigenous-science-with-western-science-book-1-university-of-victoria-205	B.C. Open Collection	Knowing Home: Braiding Indigenous Science with Western Science, Book 1 (University of Victoria)	Education	CC BY-NC-SA 4.0	https://pressbooks.bccampus.ca/knowinghome/open/download?type=pdf
introduction-to-sociology-2nd-canadian-edition-bccampus-191	B.C. Open Collection	Introduction to Sociology - 2nd Canadian Edition (BCcampus)	Social Sciences	CC BY 4.0	https://opentextbc.ca/introductiontosociology2ndedition/open/download?type=pdf
words-of-wisdom	B.C. Open Collection	Words of Wisdom: Intro to Philosophy	Humanities	CC BY-NC-SA 4.0	https://mlpp.pressbooks.pub/introphil/open/download?type=pdf
modern-pastry-and-plated-dessert-techniques-bccampus-247	B.C. Open Collection	Modern Pastry and Plated Dessert Techniques (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/modernpastryandplateddesserts/open/download?type=pdf
college-mathematics-for-everyday-life-2nd-edition-coconino-community-college-77	B.C. Open Collection	College Mathematics for Everyday Life - 2nd Edition (Coconino Community College)	Math & Stats	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/77/formats/College_Mathematics_for_Everyday_Life_91701e3ab1.pdf
line-c-tools-and-equipment-competency-c-4-describe-ladders-and-work-platforms-bccampus-221	B.C. Open Collection	Line C: Tools and Equipment: Competency C-4: Describe Ladders and Work Platforms (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/221/formats/C_4_d0c0454303.pdf
forall-x	B.C. Open Collection	forall x: An Introduction to Formal Logic	Humanities	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/130/formats/forallx_1baf991b55.pdf
fortigate-firewall-practical-guidance-and-hands-on-labs-bccampus-411	B.C. Open Collection	FortiGate Firewall: Practical Guidance and Hands-On Labs (BCcampus)	Computer Science	CC BY 4.0	https://opentextbc.ca/fortigatefirewall/open/download?type=pdf
introduction-to-philosophy-aesthetic-theory-and-practice-the-rebus-community-182	B.C. Open Collection	Introduction to Philosophy: Aesthetic Theory and Practice (The Rebus Community)	Humanities	CC BY 4.0	https://press.rebus.community/intro-to-phil-aesthetics/open/download?type=pdf
a-comprehensive-guide-to-applying-universal-design-for-learning	B.C. Open Collection	A Comprehensive Guide to Applying Universal Design for Learning: A Collection of Three UDL Workbooks (Justice Institute of British Columbia)	Education	CC BY-NC-SA 4.0	https://pressbooks.bccampus.ca/jibcudl/open/download?type=pdf
line-d-organizational-skills-competency-d-3-read-drawings-and-specifications-bccampus-224	B.C. Open Collection	Line D: Organizational Skills: Competency D-3: Read Drawings and Specifications (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/224/formats/D_3_ef15254d97.pdf
organic-chemistry-with-a-biological-emphasis-volume-ii-2019-university-of-minnesota-morris-375	B.C. Open Collection	Organic Chemistry with a Biological Emphasis: Volume II - 2019 (University of Minnesota Morris)	Biological-Physical Sciences	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/375/formats/Organic_Chemistry_with_a_Biological_Emphasis_Volume_II_b7efecc53a.pdf
basic-analysis-ii-introduction-to-real-analysis-volume-ii-32	B.C. Open Collection	Basic Analysis II: Introduction to Real Analysis: Volume II	Math & Stats	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/32/formats/Basic_Analysis_2_2022_c4d3fed566.pdf
block-e-fuel-gas-systems-plumbing-apprenticeship-program-level-3-bccampus-392	B.C. Open Collection	Block E: Fuel Gas Systems: Plumbing Apprenticeship Program Level 3 (BCcampus)	Trades	CC BY-NC-SA 4.0	https://opentextbc.ca/plumbing3e/open/download?type=pdf
understanding-ingredients-for-the-canadian-baker-bccampus-350	B.C. Open Collection	Understanding Ingredients for the Canadian Baker (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/ingredients/open/download?type=pdf
discover-psychology-20-a-brief-introductory-text-noba-102	B.C. Open Collection	Discover Psychology 2.0: A Brief Introductory Text (NOBA)	Social Sciences	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/102/formats/Discover_Psychology_2_0_A_Brief_Introductory_Text_9_64515d7836.pdf
world-regional-geography-367	B.C. Open Collection	World Regional Geography	Earth and Ocean Sciences	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/367/formats/WRG_Textbook_062a656239.pdf
ethical-use-of-technology-in-digital-learning-environments-graduate-student-perspectives-university-of-calgary-118	B.C. Open Collection	Ethical Use of Technology in Digital Learning Environments: Graduate Student Perspectives (University of Calgary)	Education	CC BY 4.0	https://openeducationalberta.ca/educationaltechnologyethics/open/download?type=pdf
fundamentals-of-business-canadian-edition-ecampusontario-136	B.C. Open Collection	Fundamentals of Business - Canadian Edition (eCampusOntario)	Business	CC BY-NC-SA 4.0	https://ecampusontario.pressbooks.pub/businessfuncdn/open/download?type=pdf
principles-of-sociological-inquiry-qualitative-and-quantitative-methods-1	B.C. Open Collection	Principles of Sociological Inquiry: Qualitative and Quantitative Methods	Social Sciences	CC BY-NC-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/1/formats/Principles_of_Sociological_Inquiry_ac396ebd89.pdf
forest-measurements-an-applied-approach-open-oregon-132	B.C. Open Collection	Forest Measurements: An Applied Approach (Open Oregon)	Earth and Ocean Sciences	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/132/formats/Forest_Measurements_An_Applied_Approach_digital_94c266ca25.pdf
graphic-design-and-print-production-fundamentals-bccampus-143	B.C. Open Collection	Graphic Design and Print Production Fundamentals (BCcampus)	Art and Design	CC BY 4.0	https://opentextbc.ca/graphicdesign/open/download?type=pdf
line-d-organizational-skills-competency-d-4-use-codes-regulations-and-standards-bccampus-225	B.C. Open Collection	Line D: Organizational Skills: Competency D-4: Use Codes, Regulations and Standards (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/225/formats/D_4_59dbf0de34.pdf
essentials-of-linguistics-mcmaster-university-117	B.C. Open Collection	Essentials of Linguistics (McMaster University)	Humanities	CC BY-SA 4.0	https://ecampusontario.pressbooks.pub/essentialsoflinguistics/open/download?type=pdf
basic-kitchen-and-food-service-management-bccampus-34	B.C. Open Collection	Basic Kitchen and Food Service Management (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/basickitchenandfoodservicemanagement/open/download?type=pdf
principles-of-macroeconomics-2021a-lyryx	B.C. Open Collection	Principles of Macroeconomics - 2021A Lyryx (Lyryx)	Social Sciences	CC BY-NC-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/281/formats/CI_Principles_of_Macroeconomics_2021_A_32420deed1.pdf
professional-communications-oer-module-4-interpersonal-campus-alberta-295	B.C. Open Collection	Professional Communications OER: Module 4: Interpersonal (Campus Alberta)	Communication & Writing	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/295/formats/e_Textbook_Part_4_Interpersonal_Communication_78209e7eb5.pdf
open-data-structures	B.C. Open Collection	Open Data Structures: In Java	Computer Science	CC BY 2.5	http://www.opendatastructures.org/ods-java.pdf
bc-reads-adult-literacy-fundamental-english-reader-6-bccampus-47	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Reader 6 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealfreader6/open/download?type=pdf
introduction-to-web-accessibility-the-chang-school-toronto-metropolitan-university-194	B.C. Open Collection	Introduction to Web Accessibility (The Chang School, Toronto Metropolitan University)	Computer Science	CC BY-SA 4.0	https://pressbooks.library.ryerson.ca/iwacc/open/download?type=pdf
the-originals	B.C. Open Collection	The Originals: Classic Readings in Western Philosophy (Thompson Rivers University/BCcampus)	Humanities	CC BY 4.0	https://pressbooks.bccampus.ca/classicreadings/open/download?type=pdf
francais-interactif	B.C. Open Collection	Français Interactif (University of Texas at Austin)	Language Learning	CC BY 3.0	http://www.laits.utexas.edu/fi/html/toc/map.html#textbook
project-management-2nd-edition-bccampus-298	B.C. Open Collection	Project Management - 2nd Edition (BCcampus)	Business	CC BY 4.0	https://opentextbc.ca/projectmanagement/open/download?type=pdf
introductory-algebra-bccampus-196	B.C. Open Collection	Introductory Algebra (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/introalgebra/open/download?type=pdf
strategies-for-academic-success	B.C. Open Collection	Strategies for Academic Success (University of Saskatchewan)	Academic-Career Success	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/328/formats/Strategies_for_Academic_Success_7a088a63a3.pdf
analyzing-meaning-an-introduction-to-semantics-and-pragmatics-language-science-press-26	B.C. Open Collection	Analyzing Meaning: An Introduction to Semantics and Pragmatics (Language Science Press)	Humanities	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/26/formats/Analyzing_Meaning_44778da28f.pdf
line-d-organizational-skills-competency-d-1-solve-trades-mathematical-problems-bccampus-222	B.C. Open Collection	Line D: Organizational Skills: Competency D-1: Solve Trades Mathematical Problems (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/222/formats/D_1_2_6909cec9f5.pdf
environmental-science-a-canadian-perspective-dalhousie-university-libraries-digital-editions-115	B.C. Open Collection	Environmental Science: A Canadian Perspective (Dalhousie University Libraries Digital Editions )	Earth and Ocean Sciences	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/115/formats/Environmental_Science_9f143276eb.pdf
understanding-media-and-culture	B.C. Open Collection	Understanding Media and Culture (Saylor Academy )	Communication & Writing	CC BY-NC-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/351/formats/Understanding_Media_and_Culture_3ae60c4473.pdf
foundations-in-digital-marketing-building-meaningful-customer-relationships-and-engaged-audiences-bccampus-404	B.C. Open Collection	Foundations in Digital Marketing : Building Meaningful Customer Relationships and Engaged Audiences (BCcampus)	Business	CC BY 4.0	https://opentextbc.ca/foundationsdigitalmarketing/open/download?type=pdf
english-literature-victorians-and-moderns-bccampus-112	B.C. Open Collection	English Literature: Victorians and Moderns (BCcampus)	Humanities	CC BY 4.0	https://opentextbc.ca/englishliterature/open/download?type=pdf
delftse-foundations-of-computation-tu-delft-97	B.C. Open Collection	Delftse Foundations of Computation (TU Delft)	Computer Science	CC BY-NC-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/97/formats/OTB_245_01_Delftse_Foundations_of_Computation_4858042323.pdf
principles-of-marketing-h5p-edition-bccampus-397	B.C. Open Collection	Principles of Marketing - H5P Edition (BCcampus)	Business	CC BY-SA 4.0	https://opentextbc.ca/principlesofmarketingh5p/open/download?type=pdf
antologia-abierta-de-literatura-hispana-rebus-community-28	B.C. Open Collection	Antología Abierta de Literatura Hispana (Rebus Community)	Humanities	CC BY 4.0	https://press.rebus.community/aalh/open/download?type=pdf
bc-reads-adult-literacy-fundamental-english-course-pack-5-bccampus-40	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Course Pack 5 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealf5/open/download?type=pdf
working-in-the-food-service-industry-bccampus-364	B.C. Open Collection	Working in the Food Service Industry (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/workinginfoodserviceindustry/open/download?type=pdf
world-history-cultures-states-and-societies-to-1500-university-of-north-georgia-366	B.C. Open Collection	World History: Cultures, States, and Societies to 1500 (University of North Georgia)	Humanities	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/366/formats/World_History_Textbook_a23bc699ce.pdf
block-f-hydronic-heating-and-cooling-systems-plumbing-apprenticeship-program-level-3-bccampus-393	B.C. Open Collection	Block F: Hydronic Heating and Cooling Systems: Plumbing Apprenticeship Program Level 3 (BCcampus)	Trades	CC BY-NC-SA 4.0	https://opentextbc.ca/plumbing3f/open/download?type=pdf
university-101	B.C. Open Collection	University 101: Study, Strategize, and Succeed (Kwantlen Polytechnic University)	Academic-Career Success	CC BY-SA 4.0	https://pressbooks.bccampus.ca/studystrategizesucceed/open/download?type=pdf
entrepreneurship-and-innovation-toolkit-university-of-saskatchewan-open-press-113	B.C. Open Collection	Entrepreneurship and Innovation Toolkit (University of Saskatchewan Open Press)	Business	CC BY-SA 4.0	https://pressbooks.bccampus.ca/entrepreneurship/open/download?type=pdf
environmental-biology-open-oregon-114	B.C. Open Collection	Environmental Biology (Open Oregon)	Biological-Physical Sciences	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/114/formats/Environmental_Biology_1_f02a1baa29.pdf
customer-centric-strategy-94	B.C. Open Collection	Customer Centric Strategy	Business	CC BY-NC-SA 4.0	https://ecampusontario.pressbooks.pub/customercentricstrategy/open/download?type=pdf
line-a-safe-work-practices-competency-a-5-describe-fire-safety-bccampus-216	B.C. Open Collection	Line A: Safe Work Practices: Competency A-5: Describe Fire Safety (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/216/formats/A5_225f78e770.pdf
line-b-employability-skills-competency-b-3-use-interpersonal-communication-skills-2nd-edition-bccampus-345	B.C. Open Collection	Line B: Employability Skills: Competency B-3: Use Interpersonal Communication Skills - 2nd Edition (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/tradescommoncoreb3/open/download?type=pdf
understanding-document-accessibility	B.C. Open Collection	Understanding Document Accessibility (The Chang School, Toronto Metropolitan University (formerly Ryerson University))	Communication & Writing	CC BY-SA 4.0	https://pressbooks.library.ryerson.ca/docs/open/download?type=pdf
adult-literacy-fundamental-mathematics-book-3-2nd-edition-bccampus-402	B.C. Open Collection	Adult Literacy Fundamental Mathematics: Book 3 - 2nd Edition (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/alfm3/open/download?type=pdf
block-d-compressed-air-systems-plumbing-apprenticeship-program-level-3-bccampus-391	B.C. Open Collection	Block D: Compressed Air Systems: Plumbing Apprenticeship Program Level 3 (BCcampus)	Trades	CC BY-NC-SA 4.0	https://opentextbc.ca/plumbing3d/open/download?type=pdf
knowing-home-braiding-indigenous-science-with-western-science-book-2-epublishing-services-university-of-victoria-libraries-206	B.C. Open Collection	Knowing Home: Braiding Indigenous Science with Western Science, Book 2 (ePublishing Services, University of Victoria Libraries)	Education	CC BY-NC-SA 4.0	https://pressbooks.bccampus.ca/knowinghome2/open/download?type=pdf
building-a-competitive-first-nation-investment-climate-tulo-centre-55	B.C. Open Collection	Building a Competitive First Nation Investment Climate (Tulo Centre)	Business	CC BY-NC 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/55/formats/OTB_075_01_building_a_competitive_first_nation_investment_climate_a6214aac0e.pdf
line-c-tools-and-equipment-competency-c-3-describe-rigging-and-hoisting-equipment-bccampus-220	B.C. Open Collection	Line C: Tools and Equipment: Competency C-3: Describe Rigging and Hoisting Equipment (BCcampus)	Trades	CC BY 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/220/formats/C_3_7ebf881ed4.pdf
adult-literacy-fundamental-mathematics-book-4-2nd-edition-bccampus-403	B.C. Open Collection	Adult Literacy Fundamental Mathematics: Book 4 - 2nd Edition (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/alfm4/open/download?type=pdf
basic-analysis-i-introduction-to-real-analysis-volume-i-31	B.C. Open Collection	Basic Analysis I: Introduction to Real Analysis: Volume I	Math & Stats	CC BY-SA 4.0	https://cdn.collection.bccampus.ca/resources/textbooks/31/formats/Basic_Analysis_1_2022_a394ba4c6c.pdf
adult-literacy-fundamental-mathematics-book-1-2nd-edition-bccampus-14	B.C. Open Collection	Adult Literacy Fundamental Mathematics: Book 1 - 2nd Edition (BCcampus)	Math & Stats	CC BY 4.0	https://opentextbc.ca/alfm1/open/download?type=pdf
project-management-for-instructional-designers-1st-canadian-edition	B.C. Open Collection	Project Management for Instructional Designers - 1st Canadian Edition	Education	CC BY-NC-SA 4.0	https://openpress.usask.ca/pm4id/open/download?type=pdf
northern-and-indigenous-health-and-healthcare	B.C. Open Collection	Northern and Indigenous Health and Healthcare (University of Saskatchewan Open Press)	Health and Medical	CC BY-NC 4.0	https://openpress.usask.ca/northernhealthcare/open/download?type=pdf
fundamentals-of-electrical-engineering-i-137	B.C. Open Collection	Fundamentals of Electrical Engineering I	Engineering	CC BY 1.0	https://cdn.collection.bccampus.ca/resources/textbooks/137/formats/fundamentals_of_electrical_engineering_i_9_72_1a3532c721.pdf
engineering-systems-dynamics-modelling-simulation-and-design-lagrangian-and-bond-graph-methods-british-columbia-institute-of-technology-111	B.C. Open Collection	Engineering Systems, Dynamics, Modelling, Simulation, and Design: Lagrangian and Bond Graph Methods (British Columbia Institute of Technology)	Engineering	CC BY-NC 4.0	https://pressbooks.bccampus.ca/engineeringsystems/open/download?type=pdf
line-b-employability-skills-competency-b-1-apply-study-and-learning-skills-2nd-edition-bccampus-343	B.C. Open Collection	Line B: Employability Skills: Competency B-1: Apply Study and Learning Skills - 2nd Edition (BCcampus)	Trades	CC BY 4.0	https://opentextbc.ca/tradescommoncoreb1/open/download?type=pdf
principles-of-microeconomics	B.C. Open Collection	Principles of Microeconomics (Saylor Academy)	Social Sciences	CC BY-NC-SA 3.0	https://cdn.collection.bccampus.ca/resources/textbooks/285/formats/Principles_of_Microeconomics_Attributed_1c1a2d5158.pdf
bc-reads-adult-literacy-fundamental-english-course-pack-1-bccampus-36	B.C. Open Collection	BC Reads: Adult Literacy Fundamental English: Course Pack 1 (BCcampus)	Language Learning	CC BY 4.0	https://opentextbc.ca/abealf1/open/download?type=pdf
